Time, Error Length, Energy
0.05, 8.583069E-6, 999.87537
0.10, 1.257658E-5, 999.6837
0.15, 1.0222197E-5, 999.0787
0.20, 1.2218952E-5, 998.3027
0.25, 1.9431114E-5, 997.3695
0.30, 2.3514032E-5, 996.0169
0.35, 2.682209E-5, 994.5438
0.40, 2.8192997E-5, 993.2073
0.45, 3.2186508E-5, 991.8577
0.50, 3.4838915E-5, 990.6117
0.55, 3.9041042E-5, 989.3458
0.60, 4.5388937E-5, 987.3301
0.65, 5.1796436E-5, 984.5919
0.70, 5.8352947E-5, 981.7785
0.75, 6.484985E-5, 979.032
0.80, 7.2687864E-5, 977.2478
0.85, 8.535385E-5, 981.0176
0.90, 9.718537E-5, 984.6826
0.95, 1.17093325E-4, 987.7655
1.00, 1.4573336E-4, 990.6804
1.05, 1.8116832E-4, 992.69116
1.10, 2.8279424E-4, 990.76843
1.15, 1.2812018E-4, 988.45325
1.20, 1.0421872E-4, 987.56335
1.25, 8.007884E-5, 984.9802
1.30, 7.7456236E-5, 982.80066
1.35, 9.572506E-5, 980.59406
1.40, 9.429455E-5, 978.896
1.45, 7.6919794E-5, 976.8157
1.50, 8.6694956E-5, 976.4653
1.55, 9.161234E-5, 975.8378
1.60, 9.8735094E-5, 975.5021
1.65, 7.402897E-5, 975.0111
1.70, 9.661913E-5, 975.7084
1.75, 8.863211E-5, 977.21936
1.80, 5.6385994E-5, 978.97406
1.85, 4.824996E-5, 980.54285
1.90, 3.2633543E-5, 981.99927
1.95, 2.7775764E-5, 983.59906
2.00, 1.1652708E-5, 985.05695
2.05, 1.013279E-5, 986.1323
2.10, 9.328127E-6, 987.12604
2.15, 9.000301E-6, 988.08417
2.20, 8.195639E-6, 988.65985
2.25, 6.4074993E-6, 988.81683
2.30, 6.7055225E-6, 988.90967
2.35, 7.56979E-6, 988.8818
2.40, 6.1392784E-6, 988.4226
2.45, 7.0035458E-6, 987.9507
2.50, 1.04904175E-5, 987.07556
2.55, 7.3313713E-6, 985.9781
2.60, 8.374453E-6, 984.52747
2.65, 1.3768673E-5, 983.11505
2.70, 1.2874603E-5, 981.76874
2.75, 2.1994114E-5, 980.01294
2.80, 3.439188E-5, 977.83984
2.85, 1.2606382E-5, 976.1808
2.90, 3.322959E-5, 973.9211
2.95, 4.4614077E-5, 971.41833
3.00, 4.9442053E-5, 968.64075
3.05, 4.0084124E-5, 966.1142
3.10, 9.551644E-5, 967.49976
3.15, 1.180172E-4, 969.38257
3.20, 3.0457973E-5, 971.51843
3.25, 1.5255809E-4, 973.1771
3.30, 1.1283159E-4, 973.735
3.35, 6.4748526E-4, 945.1399
3.40, 1.6391277E-5, 922.01294
3.45, 1.6659498E-5, 917.64087
3.50, 4.7385693E-5, 912.2988
3.55, 3.4093857E-5, 908.5966
3.60, 4.8458576E-5, 903.7
3.65, 1.3017654E-4, 897.86597
3.70, 9.1165304E-5, 891.6802
3.75, 8.442998E-5, 889.69904
3.80, 4.5210123E-5, 888.72595
3.85, 1.0958314E-4, 886.6775
3.90, 3.167987E-5, 885.8358
3.95, 5.5402517E-5, 886.69275
4.00, 2.1100044E-5, 888.0746
4.05, 4.157424E-5, 887.8503
4.10, 5.8233738E-5, 886.04175
4.15, 2.8848648E-5, 886.5178
4.20, 5.555153E-5, 886.86633
4.25, 1.4275312E-5, 887.46326
4.30, 7.5101852E-6, 887.71405
4.35, 6.2286854E-6, 888.6642
4.40, 4.3213367E-6, 889.2039
4.45, 2.026558E-6, 889.469
4.50, 3.5762787E-6, 889.35706
4.55, 5.722046E-6, 888.56165
4.60, 8.34465E-6, 888.05444
4.65, 5.054474E-5, 886.8644
4.70, 3.668666E-5, 883.73584
4.75, 1.2129545E-5, 882.36707
4.80, 6.1690807E-6, 882.01025
4.85, 7.8082085E-6, 880.1996
4.90, 6.9737434E-6, 878.35986
4.95, 7.390976E-6, 876.74963
5.00, 2.5808811E-5, 874.93024
5.05, 4.914403E-5, 871.81946
5.10, 5.632639E-6, 870.0629
5.15, 7.6293945E-6, 868.3916
5.20, 6.324053E-5, 869.2793
5.25, 1.9401312E-5, 869.19214
5.30, 4.965067E-5, 871.1588
5.35, 5.5372715E-5, 871.70135
5.40, 2.592802E-5, 874.60376
5.45, 6.7561865E-5, 874.5775
5.50, 1.7336011E-4, 859.0362
5.55, 4.5090914E-5, 826.40955
5.60, 3.027916E-5, 821.1192
5.65, 5.7816505E-5, 817.2489
5.70, 7.605553E-5, 812.68243
5.75, 2.270937E-5, 808.0316
5.80, 3.415346E-5, 804.2327
5.85, 1.4454126E-5, 800.5021
5.90, 4.1365623E-5, 798.85913
5.95, 4.7713518E-5, 796.3648
6.00, 3.749132E-5, 795.01074
6.05, 3.811717E-5, 794.3243
6.10, 1.218915E-5, 794.83344
6.15, 1.2099743E-5, 795.0714
6.20, 5.2660704E-5, 795.4295
6.25, 3.784895E-5, 793.1815
6.30, 1.9520521E-5, 793.70306
6.35, 4.9233437E-5, 794.3659
6.40, 1.2600422E-4, 793.0944
6.45, 2.0444393E-5, 792.81226
6.50, 5.5730343E-6, 793.1456
6.55, 8.612871E-6, 793.93787
6.60, 7.7188015E-6, 794.4454
6.65, 4.0322542E-5, 794.1596
6.70, 2.4586916E-5, 793.3771
6.75, 2.938509E-5, 792.5584
6.80, 1.2099743E-5, 792.369
6.85, 2.0503998E-5, 792.10913
6.90, 1.7553568E-5, 791.6826
6.95, 1.180172E-5, 791.7051
7.00, 7.778406E-6, 791.3458
7.05, 8.761883E-6, 791.2675
7.10, 4.61936E-6, 791.5958
7.15, 1.0222197E-5, 791.5617
7.20, 3.0696392E-5, 792.0693
7.25, 1.6182661E-5, 793.6389
7.30, 1.3107061E-4, 794.2578
7.35, 8.252263E-5, 793.5308
7.40, 3.6218762E-4, 778.87463
7.45, 3.182888E-5, 772.9378
7.50, 1.54078E-4, 769.27954
7.55, 2.977252E-5, 767.1854
7.60, 6.112456E-5, 765.51465
7.65, 8.422136E-5, 763.549
7.70, 1.5586615E-5, 762.17126
7.75, 1.0877848E-5, 759.08704
7.80, 8.380413E-5, 756.5134
7.85, 1.321435E-4, 752.2116
7.90, 5.221367E-5, 747.7002
7.95, 1.9133091E-5, 745.71606
8.00, 5.00381E-5, 744.0139
8.05, 3.2275915E-5, 742.7412
8.10, 1.6242266E-5, 741.80664
8.15, 8.127093E-5, 741.6697
8.20, 8.901954E-5, 738.385
8.25, 4.2945147E-5, 737.2074
8.30, 2.3394823E-5, 736.54047
8.35, 1.3947487E-5, 736.0873
8.40, 7.7188015E-6, 735.49054
8.45, 6.020069E-6, 735.14197
8.50, 8.85129E-6, 735.14087
8.55, 1.3530254E-5, 735.08264
8.60, 1.2129545E-5, 734.9945
8.65, 2.1249056E-5, 734.4566
8.70, 1.21593475E-5, 733.6227
8.75, 9.62615E-6, 733.08295
8.80, 1.3291836E-5, 732.1953
8.85, 7.0929527E-6, 731.7323
8.90, 2.0980835E-5, 730.8138
8.95, 1.3762712E-4, 729.4042
9.00, 4.452467E-5, 723.4286
9.05, 7.3313713E-6, 722.8263
9.10, 4.142523E-6, 722.4531
9.15, 1.8775463E-5, 723.3939
9.20, 4.348159E-5, 724.30676
9.25, 1.0794401E-4, 723.72943
9.30, 5.6654215E-5, 723.5001
9.35, 3.376603E-5, 725.04694
9.40, 9.864569E-6, 727.418
9.45, 1.23381615E-5, 728.8723
9.50, 3.3825636E-5, 729.07117
9.55, 1.578033E-4, 726.65137
9.60, 1.2809038E-4, 716.4558
9.65, 1.17480755E-4, 710.8527
9.70, 3.528595E-5, 706.0708
9.75, 1.2725592E-5, 702.61346
9.80, 3.1620264E-5, 699.3105
9.85, 8.255243E-5, 696.72705
9.90, 2.3335218E-5, 694.78186
